codigo	lugar
10101	Chachapoyas / Chachapoyas / Amazonas
10102	Asunción / Chachapoyas / Amazonas
10103	Balsas / Chachapoyas / Amazonas
10104	Cheto / Chachapoyas / Amazonas
10105	Chiliquin / Chachapoyas / Amazonas
10106	Chuquibamba / Chachapoyas / Amazonas
10107	Granada / Chachapoyas / Amazonas
10108	Huancas / Chachapoyas / Amazonas
10109	La Jalca / Chachapoyas / Amazonas
10110	Leimebamba / Chachapoyas / Amazonas
10111	Levanto / Chachapoyas / Amazonas
10112	Magdalena / Chachapoyas / Amazonas
10113	Mariscal Castilla / Chachapoyas / Amazonas
10114	Molinopampa / Chachapoyas / Amazonas
10115	Montevideo / Chachapoyas / Amazonas
10116	Olleros / Chachapoyas / Amazonas
10117	Quinjalca / Chachapoyas / Amazonas
10118	San Francisco de Daguas / Chachapoyas / Amazonas
10119	San Isidro de Maino / Chachapoyas / Amazonas
10120	Soloco / Chachapoyas / Amazonas
10121	Sonche / Chachapoyas / Amazonas
10201	Bagua / Bagua / Amazonas
10202	Aramango / Bagua / Amazonas
10203	Copallin / Bagua / Amazonas
10204	El Parco / Bagua / Amazonas
10205	Imaza / Bagua / Amazonas
10206	La Peca / Bagua / Amazonas
10301	Jumbilla / Bongará / Amazonas
10302	Chisquilla / Bongará / Amazonas
10303	Churuja / Bongará / Amazonas
10304	Corosha / Bongará / Amazonas
10305	Cuispes / Bongará / Amazonas
10306	Florida / Bongará / Amazonas
10307	Jazan / Bongará / Amazonas
10308	Recta / Bongará / Amazonas
10309	San Carlos / Bongará / Amazonas
10310	Shipasbamba / Bongará / Amazonas
10311	Valera / Bongará / Amazonas
10312	Yambrasbamba / Bongará / Amazonas
10401	Nieva / Condorcanqui / Amazonas
10402	El Cenepa / Condorcanqui / Amazonas
10403	Río Santiago / Condorcanqui / Amazonas
10501	Lamud / Luya / Amazonas
10502	Camporredondo / Luya / Amazonas
10503	Cocabamba / Luya / Amazonas
10504	Colcamar / Luya / Amazonas
10505	Conila / Luya / Amazonas
10506	Inguilpata / Luya / Amazonas
10507	Longuita / Luya / Amazonas
10508	Lonya Chico / Luya / Amazonas
10509	Luya / Luya / Amazonas
10510	Luya Viejo / Luya / Amazonas
10511	María / Luya / Amazonas
10512	Ocalli / Luya / Amazonas
10513	Ocumal / Luya / Amazonas
10514	Pisuquia / Luya / Amazonas
10515	Providencia / Luya / Amazonas
10516	San Cristóbal / Luya / Amazonas
10517	San Francisco de Yeso / Luya / Amazonas
10518	San Jerónimo / Luya / Amazonas
10519	San Juan de Lopecancha / Luya / Amazonas
10520	Santa Catalina / Luya / Amazonas
